Ordenação,SqrtSortImpl,Segundos/Operação,Margem de erro ±
Aleatoria,Bubble,0.005,0.001
Aleatoria,Heap,0.003,0.001
Crecente,Bubble,0.003,0.001
Crecente,Heap,00.001,0.001
Decrecente,Bubble,0.004,0.001
Decrecente,Heap,0.002,0.001

